item_id,image_name,image_path,humour,sarcasm,offensive,motivational,overall_sentiment,Social,Animation,Sports,Animal,Politics,Education,Fiction,Technology
1,image_6414,./image_data/image_6414.jpg,-0.33333333333333326,-0.33333333333333326,-0.33333333333333326,-1.0,1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0
2,image_5204,./image_data/image_5204.jpg,1.0,0.3333333333333335,-0.9999999999999999,1.0,0.5,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
3,image_1290,./image_data/image_1290.jpg,0.3333333333333335,0.3333333333333335,0.3333333333333335,1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0
4,image_2770,./image_data/image_2770.png,0.3333333333333335,-0.33333333333333326,-0.33333333333333326,1.0,0.5,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0
5,image_2495,./image_data/image_2495.jpg,-0.33333333333333326,-0.33333333333333326,-0.9999999999999999,-1.0,0.5,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0
6,image_5314,./image_data/image_5314.jpg,0.3333333333333335,-0.33333333333333326,-0.9999999999999999,-1.0,0.5,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0
7,image_3133,./image_data/image_3133.jpg,1.0,0.3333333333333335,-0.33333333333333326,-1.0,0.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0
8,image_3666,./image_data/image_3666.jpg,0.3333333333333335,0.3333333333333335,0.3333333333333335,1.0,0.5,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
9,image_5576,./image_data/image_5576.jpg,-0.33333333333333326,-0.33333333333333326,-0.9999999999999999,-1.0,0.5,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
10,image_4527,./image_data/image_4527.jpg,1.0,0.3333333333333335,1.0,1.0,0.5,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
11,image_3492,./image_data/image_3492.png,0.3333333333333335,1.0,-0.33333333333333326,1.0,1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0
12,image_3969,./image_data/image_3969.jpeg,-0.9999999999999999,1.0,-0.9999999999999999,1.0,0.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0
13,image_6587,./image_data/image_6587.jpg,-0.9999999999999999,-0.33333333333333326,-0.33333333333333326,1.0,0.5,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0
14,image_3382,./image_data/image_3382.jpg,0.3333333333333335,-0.33333333333333326,0.3333333333333335,1.0,0.5,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0
15,image_6824,./image_data/image_6824.jpeg,0.3333333333333335,-0.33333333333333326,0.3333333333333335,1.0,1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
16,image_66,./image_data/image_66.jpg,-0.33333333333333326,0.3333333333333335,0.3333333333333335,1.0,0.5,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0
17,image_92,./image_data/image_92.jpg,-0.33333333333333326,0.3333333333333335,-0.9999999999999999,1.0,-0.5,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
18,image_3604,./image_data/image_3604.jpeg,0.3333333333333335,0.3333333333333335,0.3333333333333335,-1.0,0.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
19,image_1518,./image_data/image_1518.png,0.3333333333333335,0.3333333333333335,0.3333333333333335,1.0,0.5,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
20,image_4881,./image_data/image_4881.jpg,1.0,-0.9999999999999999,-0.33333333333333326,-1.0,1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0
21,image_5289,./image_data/image_5289.jpg,0.3333333333333335,0.3333333333333335,0.3333333333333335,-1.0,0.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
22,image_3565,./image_data/image_3565.jpg,0.3333333333333335,-0.33333333333333326,-0.33333333333333326,-1.0,-0.5,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
23,image_1219,./image_data/image_1219.jpg,0.3333333333333335,-0.33333333333333326,-0.33333333333333326,1.0,0.5,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0
24,image_3994,./image_data/image_3994.jpg,-0.33333333333333326,-0.33333333333333326,-0.9999999999999999,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0
25,image_4370,./image_data/image_4370.jpg,-0.9999999999999999,-0.33333333333333326,-0.33333333333333326,1.0,0.5,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
26,image_6893,./image_data/image_6893.jpg,1.0,1.0,0.3333333333333335,-1.0,-0.5,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0
27,image_4617,./image_data/image_4617.jpg,0.3333333333333335,-0.33333333333333326,-0.33333333333333326,-1.0,0.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0
28,image_342,./image_data/image_342.png,-0.33333333333333326,-0.33333333333333326,-0.33333333333333326,-1.0,0.5,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0
29,image_1296,./image_data/image_1296.jpg,-0.33333333333333326,-0.33333333333333326,-0.33333333333333326,-1.0,0.5,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
30,image_45,./image_data/image_45.jpeg,-0.33333333333333326,-0.33333333333333326,-0.9999999999999999,-1.0,0.5,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0
31,image_3424,./image_data/image_3424.png,-0.33333333333333326,0.3333333333333335,-0.9999999999999999,1.0,1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
32,image_6405,./image_data/image_6405.jpg,-0.33333333333333326,-0.33333333333333326,-0.33333333333333326,1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0
33,image_162,./image_data/image_162.jpg,-0.33333333333333326,-0.33333333333333326,-0.9999999999999999,-1.0,0.5,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0
34,image_5397,./image_data/image_5397.jpg,-0.9999999999999999,-0.9999999999999999,-0.9999999999999999,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0
35,image_1217,./image_data/image_1217.jpg,-0.33333333333333326,-0.9999999999999999,-0.9999999999999999,-1.0,0.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0
36,image_4602,./image_data/image_4602.jpeg,-0.33333333333333326,-0.33333333333333326,-0.9999999999999999,-1.0,0.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
37,image_6773,./image_data/image_6773.jpg,-0.9999999999999999,-0.9999999999999999,-0.9999999999999999,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0
38,image_4266,./image_data/image_4266.jpg,1.0,-0.33333333333333326,1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
39,image_6991,./image_data/image_6991.jpg,-0.9999999999999999,0.3333333333333335,-0.9999999999999999,1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0
40,image_3835,./image_data/image_3835.jpg,-0.33333333333333326,-0.33333333333333326,-0.9999999999999999,-1.0,0.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0
41,image_5073,./image_data/image_5073.jpg,0.3333333333333335,-0.33333333333333326,-0.9999999999999999,-1.0,0.5,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0
42,image_5746,./image_data/image_5746.jpg,-0.33333333333333326,0.3333333333333335,-0.33333333333333326,1.0,0.5,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
43,image_21,./image_data/image_21.jpg,-0.33333333333333326,-0.33333333333333326,-0.9999999999999999,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0
44,image_1143,./image_data/image_1143.png,-0.9999999999999999,0.3333333333333335,0.3333333333333335,-1.0,0.5,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
45,image_6,./image_data/image_6.jpg,1.0,-0.33333333333333326,-0.33333333333333326,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0
46,image_5593,./image_data/image_5593.jpg,-0.9999999999999999,-0.33333333333333326,-0.33333333333333326,1.0,0.5,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0
47,image_6846,./image_data/image_6846.jpg,-0.33333333333333326,-0.33333333333333326,0.3333333333333335,1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0
48,image_319,./image_data/image_319.png,0.3333333333333335,-0.33333333333333326,-0.33333333333333326,-1.0,1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0
49,image_2503,./image_data/image_2503.jpg,-0.9999999999999999,-0.33333333333333326,1.0,-1.0,0.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
50,image_6985,./image_data/image_6985.jpg,-0.33333333333333326,0.3333333333333335,1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0
51,image_1449,./image_data/image_1449.jpeg,-0.33333333333333326,-0.9999999999999999,-0.9999999999999999,-1.0,0.5,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
52,image_3180,./image_data/image_3180.jpg,0.3333333333333335,-0.33333333333333326,-0.33333333333333326,-1.0,0.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
53,image_1327,./image_data/image_1327.jpg,1.0,-0.33333333333333326,-0.9999999999999999,-1.0,0.5,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
54,image_2938,./image_data/image_2938.jpg,0.3333333333333335,-0.9999999999999999,-0.9999999999999999,-1.0,0.5,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0
55,image_6161,./image_data/image_6161.jpg,-0.33333333333333326,-0.33333333333333326,0.3333333333333335,-1.0,0.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0
56,image_2592,./image_data/image_2592.jpg,-0.9999999999999999,-0.33333333333333326,-0.9999999999999999,-1.0,0.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
57,image_4522,./image_data/image_4522.jpg,0.3333333333333335,-0.33333333333333326,0.3333333333333335,1.0,1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0
58,image_5200,./image_data/image_5200.jpg,0.3333333333333335,0.3333333333333335,0.3333333333333335,1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0
59,image_1494,./image_data/image_1494.png,-0.33333333333333326,0.3333333333333335,-0.33333333333333326,1.0,0.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
60,image_6066,./image_data/image_6066.jpg,-0.33333333333333326,-0.33333333333333326,0.3333333333333335,-1.0,0.5,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
61,image_5781,./image_data/image_5781.jpg,-0.33333333333333326,-0.33333333333333326,-0.9999999999999999,-1.0,0.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
62,image_174,./image_data/image_174.jpg,0.3333333333333335,-0.33333333333333326,-0.9999999999999999,-1.0,0.5,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0
63,image_4870,./image_data/image_4870.jpg,-0.33333333333333326,-0.33333333333333326,-0.33333333333333326,1.0,0.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
64,image_5416,./image_data/image_5416.jpg,0.3333333333333335,-0.33333333333333326,-0.33333333333333326,1.0,0.5,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
65,image_4114,./image_data/image_4114.jpg,-0.33333333333333326,0.3333333333333335,-0.33333333333333326,1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0
66,image_1323,./image_data/image_1323.jpg,-0.33333333333333326,0.3333333333333335,-0.9999999999999999,-1.0,0.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
67,image_900,./image_data/image_900.jpg,0.3333333333333335,-0.33333333333333326,0.3333333333333335,-1.0,0.5,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0
68,image_1342,./image_data/image_1342.jpg,-0.33333333333333326,-0.33333333333333326,-0.9999999999999999,-1.0,0.5,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
69,image_4762,./image_data/image_4762.jpg,0.3333333333333335,-0.33333333333333326,-0.33333333333333326,1.0,0.5,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
70,image_6521,./image_data/image_6521.png,-0.9999999999999999,-0.33333333333333326,-0.33333333333333326,1.0,0.5,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0
71,image_2498,./image_data/image_2498.jpg,0.3333333333333335,-0.33333333333333326,-0.9999999999999999,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0
72,image_6894,./image_data/image_6894.jpg,-0.33333333333333326,1.0,0.3333333333333335,-1.0,0.5,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0
73,image_4400,./image_data/image_4400.jpg,1.0,-0.33333333333333326,-0.33333333333333326,1.0,0.5,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
74,image_2313,./image_data/image_2313.jpg,-0.9999999999999999,0.3333333333333335,-0.33333333333333326,1.0,0.5,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0
75,image_175,./image_data/image_175.jpg,0.3333333333333335,-0.33333333333333326,-0.9999999999999999,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0
76,image_2621,./image_data/image_2621.png,0.3333333333333335,-0.9999999999999999,-0.9999999999999999,-1.0,1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
77,image_6348,./image_data/image_6348.jpg,0.3333333333333335,-0.33333333333333326,-0.9999999999999999,-1.0,0.5,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
78,image_462,./image_data/image_462.jpeg,-0.33333333333333326,-0.33333333333333326,-0.9999999999999999,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
79,image_3486,./image_data/image_3486.png,1.0,-0.33333333333333326,-0.33333333333333326,-1.0,0.5,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,1.0,-1.0
80,image_3810,./image_data/image_3810.jpg,-0.33333333333333326,-0.33333333333333326,0.3333333333333335,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0
81,image_6719,./image_data/image_6719.png,0.3333333333333335,-0.9999999999999999,-0.9999999999999999,-1.0,0.5,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
82,image_4635,./image_data/image_4635.jpg,-0.33333333333333326,-0.33333333333333326,1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0
83,image_6176,./image_data/image_6176.jpg,0.3333333333333335,-0.33333333333333326,-0.33333333333333326,1.0,0.5,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0
84,image_182,./image_data/image_182.jpg,0.3333333333333335,-0.33333333333333326,-0.9999999999999999,-1.0,0.5,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0
85,image_5594,./image_data/image_5594.jpg,-0.9999999999999999,-0.9999999999999999,-0.9999999999999999,-1.0,0.5,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0
86,image_1302,./image_data/image_1302.jpeg,0.3333333333333335,0.3333333333333335,0.3333333333333335,1.0,0.5,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0
87,image_5951,./image_data/image_5951.jpg,-0.33333333333333326,-0.9999999999999999,-0.9999999999999999,1.0,0.5,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0
88,image_5271,./image_data/image_5271.png,-0.9999999999999999,-0.33333333333333326,-0.9999999999999999,-1.0,0.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0
89,image_6209,./image_data/image_6209.jpg,-0.9999999999999999,-0.33333333333333326,-0.9999999999999999,-1.0,0.5,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
90,image_6111,./image_data/image_6111.png,-0.9999999999999999,1.0,0.3333333333333335,-1.0,0.5,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0
91,image_12,./image_data/image_12.jpg,-0.9999999999999999,1.0,0.3333333333333335,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0
92,image_31,./image_data/image_31.jpg,-0.33333333333333326,-0.33333333333333326,-0.33333333333333326,1.0,0.5,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0
93,image_2743,./image_data/image_2743.JPG,-0.33333333333333326,-0.9999999999999999,-0.9999999999999999,-1.0,0.5,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
94,image_1167,./image_data/image_1167.jpeg,-0.33333333333333326,1.0,0.3333333333333335,-1.0,0.5,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
95,image_5616,./image_data/image_5616.jpg,1.0,-0.9999999999999999,0.3333333333333335,1.0,0.5,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0
96,image_1313,./image_data/image_1313.jpg,1.0,-0.33333333333333326,-0.9999999999999999,-1.0,0.5,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0
97,image_4159,./image_data/image_4159.jpg,-0.33333333333333326,-0.33333333333333326,-0.33333333333333326,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0
98,image_6722,./image_data/image_6722.jpg,-0.9999999999999999,-0.33333333333333326,-0.33333333333333326,1.0,0.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
99,image_5850,./image_data/image_5850.jpg,-0.33333333333333326,0.3333333333333335,-0.33333333333333326,1.0,0.5,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0
100,image_5319,./image_data/image_5319.jpg,0.3333333333333335,0.3333333333333335,0.3333333333333335,1.0,1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
101,image_1196,./image_data/image_1196.jpg,-0.33333333333333326,-0.33333333333333326,-0.33333333333333326,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0
102,image_5137,./image_data/image_5137.jpg,0.3333333333333335,0.3333333333333335,0.3333333333333335,1.0,0.5,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0
103,image_5012,./image_data/image_5012.jpg,-0.9999999999999999,-0.9999999999999999,-0.9999999999999999,-1.0,0.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
104,image_6806,./image_data/image_6806.jpg,0.3333333333333335,-0.33333333333333326,-0.9999999999999999,-1.0,0.5,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0
105,image_5299,./image_data/image_5299.jpg,-0.9999999999999999,1.0,0.3333333333333335,-1.0,0.5,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0
106,image_1291,./image_data/image_1291.jpg,-0.33333333333333326,-0.33333333333333326,-0.33333333333333326,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0
107,image_4463,./image_data/image_4463.jpeg,0.3333333333333335,0.3333333333333335,0.3333333333333335,1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
108,image_5708,./image_data/image_5708.jpg,0.3333333333333335,-0.33333333333333326,-0.9999999999999999,-1.0,0.5,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0
109,image_4334,./image_data/image_4334.jpg,-0.9999999999999999,0.3333333333333335,-0.33333333333333326,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0
110,image_5659,./image_data/image_5659.jpg,-0.33333333333333326,-0.33333333333333326,-0.9999999999999999,-1.0,0.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0
